Start interpreting at Fri Nov 29 17:31:43 2024

[solverPorous : Multiple] takes [1] ms.
[solverGroup : Object] takes [1] ms.
[solver : Load] takes [0] ms.
[solverFluid : SolverInterface] takes [2] ms.
[solverObj : Multiple] takes [3] ms.
[solverComm : BuildSolverComm] takes [4] ms.
[layerFieldData : Load] takes [0] ms.
[initSolver : Load] takes [0] ms.
[geo : StlBoxGeo] takes [0] ms.
[piece1 : ConstFun] takes [2] ms.
[geo : UniversalGeo] takes [0] ms.
[piece2 : ConstFun] takes [1] ms.
[initCond : PieceFun] takes [5] ms.
[flowField : InitFlowFieldMethod] takes [10408] ms.
[geo : UniversalGeo] takes [0] ms.
[piece1 : ConstFun] takes [2] ms.
[initCond : PieceFun] takes [3] ms.
[porousField : Multiple] takes [5] ms.
[allLayerFieldData : Load] takes [0] ms.
[bcFactory : Load] takes [0] ms.
[fluidAccumForce : AccumForceCoef] takes [531] ms.
[porousAccumForce : Multiple] takes [1] ms.
[layerFieldData : Load] takes [0] ms.
[preprocessingSummaryGpu : PreprocessingSummaryGpu] takes [1] ms.
[preprocessingSummaryGpu : PreprocessingSummaryMGpu] takes [2] ms.
[advance : Load] takes [0] ms.
[solverCollision : TimeKeeperSec] takes [1] ms.
[solverPorousCollision : Multiple] takes [0] ms.
[advance : Load] takes [0] ms.
[solverStream : TimeKeeperSec] takes [1] ms.
[solverPorousStream : Multiple] takes [0] ms.
[allLayerFieldData : Load] takes [0] ms.
[bcFactory : Load] takes [0] ms.
[advance : ForceMonitorNew] takes [5] ms.
[MonitorForceTool : TimeKeeperSec] takes [6] ms.
[MonitorForcePorousTool : Multiple] takes [1] ms.
[allLayerFieldData : Load] takes [0] ms.
[instFieldDataOutputGrp1 : VtkInstFieldDataOutputGroup] takes [26058] ms.
[allLayerFieldData : Load] takes [0] ms.
[statisticFieldDataOutputGrp1 : VtkStatisticFieldDataOutputGroup] takes [601567] ms.
[instPorousOutputGrp : Multiple] takes [1] ms.
[statisticPorousOutputGrp : Multiple] takes [1] ms.
[fluidPart : Load] takes [0] ms.
[porousPart : Load] takes [0] ms.
[advance : AccumForceCoefOutput] takes [2] ms.
[ForceDevelopTool : TimeKeeperSec] takes [4] ms.
[layerFieldData : Load] takes [0] ms.
[advance : PrintRunningTimeGpu] takes [1] ms.
[printRunningTime : TimeKeeperSec] takes [3] ms.
[advance : PrintInstCoef] takes [1] ms.
[printInstCoef : TimeKeeperSec] takes [2] ms.
[advance : PrintAvgCoef] takes [1] ms.
[printAvgCoef : TimeKeeperSec] takes [2] ms.
[pointMonitorGrp : Multiple] takes [1] ms.
[layerFieldData : Load] takes [0] ms.
[advance : UiToCore] takes [1] ms.
[uiToCore : TimeKeeperSec] takes [2] ms.
[timeSequence : TimeSequence] takes [627670] ms.
[dummy : TimeSequenceM] takes [627672] ms.
[layerFieldData : Load] takes [0] ms.
[writeSummaryGpu : WriteSummaryGpu] takes [2] ms.
[writeSummaryGpu : WriteSummaryMGpu] takes [4] ms.
[vtkReconstruct : VtkReconstruct] takes [0] ms.
[vtkReconstruct : VtkReconstructM] takes [2] ms.
[methods : SequenceM] takes [2010758] ms.
